latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-4.242,-48.721,305.9,2.8,1.6,2020-10-26,0115,T,47,6.0NRT,291.6,20,N
-4.052,-50.804,300.8,4,1.9,2020-10-26,0115,T,33,6.0NRT,287.9,22.5,N
-3.996,-50.634,313.7,3.9,1.8,2020-10-26,0115,T,72,6.0NRT,288.3,91.3,N
-3.99,-50.641,317.7,3.9,1.8,2020-10-26,0115,T,86,6.0NRT,289.3,117.8,N
-3.666,-49.945,303.2,3.4,1.7,2020-10-26,0115,T,52,6.0NRT,291,23.5,N
-3.671,-49.949,304.3,3.4,1.7,2020-10-26,0115,T,59,6.0NRT,290.9,27,N
-3.184,-46.596,300.9,1.8,1.3,2020-10-26,0115,T,35,6.0NRT,281,10,N
-3.58,-50.413,306.1,3.7,1.8,2020-10-26,0115,T,67,6.0NRT,290.3,35.4,N
-3.503,-50.325,304.7,3.6,1.8,2020-10-26,0115,T,21,6.0NRT,290.3,24.1,N
-3.507,-50.358,308.6,3.6,1.8,2020-10-26,0115,T,75,6.0NRT,290.1,41.5,N
-3.571,-50.419,308.3,3.7,1.8,2020-10-26,0115,T,74,6.0NRT,290.4,43.3,N
-3.358,-49.236,303.8,2.9,1.6,2020-10-26,0115,T,57,6.0NRT,290,18.7,N
-3.51,-50.33,305.9,3.6,1.8,2020-10-26,0115,T,66,6.0NRT,290.3,32.7,N
-3.514,-50.362,304.2,3.6,1.8,2020-10-26,0115,T,59,6.0NRT,290,27,N
-3.344,-49.238,305.4,2.9,1.6,2020-10-26,0115,T,64,6.0NRT,289,23.8,N
-3.459,-50.435,300.5,3.7,1.8,2020-10-26,0115,T,18,6.0NRT,289.7,20.3,N
-3.509,-51.104,300.8,4.1,1.9,2020-10-26,0115,T,34,6.0NRT,289.4,24.8,N
-2.863,-46.875,301.1,1.9,1.3,2020-10-26,0115,T,33,6.0NRT,287,8.4,N
-3.196,-50.624,304.5,3.8,1.8,2020-10-26,0115,T,16,6.0NRT,289.9,34.6,N
-2.937,-51.814,302.2,4.6,2,2020-10-26,0115,T,47,6.0NRT,289.3,31.3,N
-2.937,-51.821,304,4.6,2,2020-10-26,0115,T,58,6.0NRT,289.4,41.3,N
-2.853,-51.354,303.9,4.2,1.9,2020-10-26,0115,T,57,6.0NRT,289.3,37.7,N
-2.844,-51.669,300.8,4.5,1.9,2020-10-26,0115,T,24,6.0NRT,288.4,30.9,N
-2.85,-51.709,302.3,4.5,2,2020-10-26,0115,T,44,6.0NRT,288.4,36.1,N
-2.843,-51.675,302.7,4.5,1.9,2020-10-26,0115,T,21,6.0NRT,288.5,38,N
-2.849,-51.714,300.5,4.5,2,2020-10-26,0115,T,6,6.0NRT,288.3,24.6,N
-2.713,-51.899,304.3,4.6,2,2020-10-26,0115,T,59,6.0NRT,289.4,37.6,N
-2.737,-51.945,304.2,4.7,2,2020-10-26,0115,T,49,6.0NRT,289.3,37.6,N
-2.342,-50.006,305.1,3.2,1.7,2020-10-26,0115,T,63,6.0NRT,292.3,23.7,N
-2.338,-51.939,313.2,4.6,2,2020-10-26,0115,T,87,6.0NRT,290.1,96.3,N
-2.344,-51.98,316.5,4.6,2,2020-10-26,0115,T,93,6.0NRT,289.9,121.8,N
-2.338,-51.944,317,4.6,2,2020-10-26,0115,T,94,6.0NRT,290.2,124.9,N
-2.344,-51.985,312.1,4.6,2,2020-10-26,0115,T,84,6.0NRT,289.8,89.1,N
-2.05,-52.079,315.3,4.7,2,2020-10-26,0115,T,91,6.0NRT,289.6,111.7,N
-2.051,-52.086,313.3,4.7,2,2020-10-26,0115,T,87,6.0NRT,289.6,97.5,N
5.389,6.658,301.6,1.5,1.2,2020-10-26,0055,A,43,6.0NRT,276.6,9.5,N
5.361,4.349,305.8,2.2,1.4,2020-10-26,0055,A,38,6.0NRT,286.2,16.8,N
3.577,7.394,312.1,1.3,1.1,2020-10-26,0055,A,78,6.0NRT,288.6,13.1,N
-4.513,12.05,312.3,1.3,1.1,2020-10-26,0055,A,84,6.0NRT,283.3,19,N
-4.515,12.062,305.9,1.3,1.1,2020-10-26,0055,A,66,6.0NRT,286.5,11.9,N
-4.859,12.031,301.2,1.3,1.1,2020-10-26,0055,A,39,6.0NRT,289.3,5.1,N
30.405,19.612,303,1.2,1.1,2020-10-26,0045,A,53,6.0NRT,290.7,7.3,N
31.692,5.832,300.1,3.9,1.8,2020-10-26,0045,A,15,6.0NRT,283.4,51.7,N
31.684,5.826,301.3,3.9,1.8,2020-10-26,0045,A,40,6.0NRT,283.3,56,N
31.669,6.067,304,3.7,1.8,2020-10-26,0045,A,58,6.0NRT,286.1,61.4,N
28.834,22.12,305.5,1.8,1.3,2020-10-26,0045,A,65,6.0NRT,287,21.6,N
28.83,22.138,310.1,1.8,1.3,2020-10-26,0045,A,79,6.0NRT,287.2,28.9,N
29.237,19.694,311.2,1.3,1.1,2020-10-26,0045,A,82,6.0NRT,286.6,17.3,N
29.235,19.706,320.2,1.3,1.1,2020-10-26,0045,A,100,6.0NRT,287.2,28.1,N
29.079,19.062,302.7,1.2,1.1,2020-10-26,0045,A,51,6.0NRT,288.2,8.4,N
29.074,19.068,304.6,1.2,1.1,2020-10-26,0045,A,61,6.0NRT,288.5,10.4,N
28.914,19.776,316.2,1.3,1.1,2020-10-26,0045,A,93,6.0NRT,288.6,24.3,N
27.656,22.505,300.8,2,1.4,2020-10-26,0045,A,34,6.0NRT,286.5,18.3,N
28.742,9.8,310.5,1.9,1.3,2020-10-26,0045,A,80,6.0NRT,287,31.7,N
26.583,12.211,300.3,1.3,1.1,2020-10-26,0045,A,23,6.0NRT,288,8.3,N
-16.348,179.547,322.9,1,1,2020-10-26,0140,A,67,6.0NRT,300.8,14,D
-0.882,131.296,316.1,2,1.4,2020-10-26,0205,T,20,6.0NRT,295,22.9,D
-2.833,129.647,315.7,1.6,1.3,2020-10-26,0205,T,39,6.0NRT,296.5,17.5,D
-2.909,129.301,313,1.5,1.2,2020-10-26,0205,T,67,6.0NRT,294.6,11.8,D
-2.904,128.711,311.4,1.4,1.2,2020-10-26,0205,T,65,6.0NRT,293.4,10.4,D
-7.533,117.294,311.3,2.3,1.5,2020-10-26,0210,T,47,6.0NRT,296.9,23.4,D
-7.537,117.314,313,2.3,1.5,2020-10-26,0210,T,56,6.0NRT,297,27.8,D
-8.501,122.739,315.3,1,1,2020-10-26,0210,T,48,6.0NRT,291.8,6.5,D
-8.348,121.69,312.9,1.1,1.1,2020-10-26,0210,T,56,6.0NRT,298.4,8.5,D
-8.35,121.7,314.1,1.1,1.1,2020-10-26,0210,T,57,6.0NRT,299,8.9,D
-8.353,121.72,314.8,1.1,1.1,2020-10-26,0210,T,59,6.0NRT,299,9.6,D
-8.354,121.73,310.2,1.1,1.1,2020-10-26,0210,T,34,6.0NRT,296.9,6,D
-8.504,119.725,311.7,1.5,1.2,2020-10-26,0210,T,47,6.0NRT,296.5,10.8,D
-8.574,119.722,312.7,1.5,1.2,2020-10-26,0210,T,55,6.0NRT,296.7,13.5,D
-9.528,120.138,355.6,1.3,1.1,2020-10-26,0210,T,98,6.0NRT,305.5,89.3,D
-10.314,123.79,326.5,1,1,2020-10-26,0210,T,47,6.0NRT,303.7,11.2,D
-11.593,130.641,311.9,2.7,1.6,2020-10-26,0210,T,24,6.0NRT,292.9,26.5,D
-10.831,122.736,314.4,1,1,2020-10-26,0210,T,61,6.0NRT,295.9,9.5,D
-10.832,122.745,310,1,1,2020-10-26,0210,T,23,6.0NRT,294.3,6,D
-14.364,131.863,321.7,3.6,1.8,2020-10-26,0210,T,66,6.0NRT,290.9,37.7,D
-14.166,126.74,329.8,1.5,1.2,2020-10-26,0210,T,61,6.0NRT,305.5,16.9,D
-14.368,127.708,328.2,1.7,1.3,2020-10-26,0210,T,71,6.0NRT,299.4,23.2,D
-14.37,127.724,327,1.7,1.3,2020-10-26,0210,T,57,6.0NRT,300,20.2,D
-14.379,127.706,333.9,1.7,1.3,2020-10-26,0210,T,79,6.0NRT,299.3,39.7,D
-14.381,127.722,336.3,1.7,1.3,2020-10-26,0210,T,78,6.0NRT,299.4,47,D
-14.393,127.721,324.3,1.7,1.3,2020-10-26,0210,T,33,6.0NRT,297.1,11.4,D
-14.602,127.932,325.5,1.8,1.3,2020-10-26,0210,T,67,6.0NRT,300.3,22.3,D
-14.931,125.83,334.2,1.3,1.1,2020-10-26,0210,T,70,6.0NRT,307.3,24.1,D
-15.408,127.913,327,1.9,1.3,2020-10-26,0210,T,67,6.0NRT,301.1,20.8,D
-15.141,125.716,333.3,1.3,1.1,2020-10-26,0210,T,66,6.0NRT,309.3,18.6,D
-15.144,125.74,338.1,1.3,1.1,2020-10-26,0210,T,83,6.0NRT,308.2,27.7,D
-15.146,125.752,329.4,1.3,1.1,2020-10-26,0210,T,52,6.0NRT,307.9,9.9,D
-15.153,125.726,353,1.3,1.1,2020-10-26,0210,T,95,6.0NRT,308.6,71.6,D
-15.672,125.341,326.3,1.3,1.1,2020-10-26,0210,T,59,6.0NRT,306.3,12.8,D
-15.68,125.328,330.8,1.3,1.1,2020-10-26,0210,T,72,6.0NRT,306.1,20.4,D
-15.682,125.34,324.7,1.3,1.1,2020-10-26,0210,T,45,6.0NRT,306.4,10.6,D
-15.681,125.333,328.6,1.3,1.1,2020-10-26,0210,T,65,6.0NRT,306.6,16.5,D
-18.32,126.72,332.9,1.7,1.3,2020-10-26,0210,T,40,6.0NRT,309.9,21.7,D
-18.322,126.736,337.5,1.7,1.3,2020-10-26,0210,T,76,6.0NRT,310.4,39.1,D
-18.32,126.73,337.1,1.7,1.3,2020-10-26,0210,T,75,6.0NRT,310.3,37.7,D
-18.322,126.746,330,1.7,1.3,2020-10-26,0210,T,17,6.0NRT,311.2,17.2,D
50.121,125.488,309.8,3.3,1.7,2020-10-26,0150,T,69,6.0NRT,276.4,76.4,D
50.12,125.535,300.5,3.3,1.7,2020-10-26,0150,T,39,6.0NRT,275.9,43.7,D
50.126,125.48,304.1,3.3,1.7,2020-10-26,0150,T,51,6.0NRT,276.2,49.8,D
50.125,125.528,306.1,3.3,1.7,2020-10-26,0150,T,60,6.0NRT,276.4,56.5,D
49.826,125.906,300.7,3.2,1.7,2020-10-26,0150,T,40,6.0NRT,275.7,39.6,D
49.828,125.901,300.8,3.2,1.7,2020-10-26,0150,T,42,6.0NRT,276,40.3,D
49.461,126.533,333,2.9,1.6,2020-10-26,0150,T,88,6.0NRT,280.7,168.6,D
49.461,126.526,326.5,2.9,1.6,2020-10-26,0150,T,84,6.0NRT,280.8,128.5,D
49.459,126.568,300.4,2.9,1.6,2020-10-26,0150,T,27,6.0NRT,279.4,28.5,D
49.387,126.519,302.5,2.9,1.6,2020-10-26,0150,T,52,6.0NRT,280.1,36.8,D
47.468,132.175,300.7,1.4,1.2,2020-10-26,0150,T,41,6.0NRT,282.6,9.4,D
42.731,131.146,303.4,1.4,1.2,2020-10-26,0155,T,21,6.0NRT,290.9,7.1,D
35.077,137.129,306.6,1.2,1.1,2020-10-26,0155,T,47,6.0NRT,293.1,4.2,D
35.057,137.071,308,1.2,1.1,2020-10-26,0155,T,59,6.0NRT,292.5,5.8,D
35.321,135.294,306.6,1,1,2020-10-26,0155,T,64,6.0NRT,290.2,7.2,D
34.972,135.904,302.4,1.1,1,2020-10-26,0155,T,20,6.0NRT,289.7,3.6,D
34.718,137.287,303.4,1.2,1.1,2020-10-26,0155,T,0,6.0NRT,292.2,4.2,D
34.908,134.915,309.7,1,1,2020-10-26,0155,T,69,6.0NRT,293.1,7.3,D
34.733,135.091,301.5,1,1,2020-10-26,0155,T,47,6.0NRT,291.2,3.7,D
34.491,133.71,311.9,1,1,2020-10-26,0155,T,37,6.0NRT,295.8,8.6,D
34.49,133.721,310.7,1,1,2020-10-26,0155,T,24,6.0NRT,295.3,7.3,D
33.262,131.642,311.1,1.1,1,2020-10-26,0155,T,62,6.0NRT,298.7,5.4,D
33.261,131.653,324.9,1.1,1,2020-10-26,0155,T,73,6.0NRT,299.5,19.3,D
-33.371,-60.163,300.1,1,1,2020-10-26,0245,T,17,6.0NRT,286.9,4.7,N
-23.727,-59.019,311.7,1.1,1.1,2020-10-26,0250,T,83,6.0NRT,271.2,13.6,N
-23.712,-59.045,301,1.1,1.1,2020-10-26,0250,T,29,6.0NRT,275.4,5,N
-23.219,-57.029,312.9,1.5,1.2,2020-10-26,0250,T,86,6.0NRT,296.9,15.8,N
-23.217,-57.035,328.7,1.5,1.2,2020-10-26,0250,T,100,6.0NRT,297.1,44.6,N
-23.206,-57.038,308.6,1.5,1.2,2020-10-26,0250,T,73,6.0NRT,296.5,11.3,N
-23.033,-58.963,308.8,1.2,1.1,2020-10-26,0250,T,69,6.0NRT,297.9,6.2,N
-22.892,-61.481,333,1,1,2020-10-26,0250,T,100,6.0NRT,301.3,27.2,N
-22.501,-62.094,314.8,1,1,2020-10-26,0250,T,83,6.0NRT,301.2,8.5,N
-22.491,-62.086,316.4,1,1,2020-10-26,0250,T,88,6.0NRT,300.7,9.3,N
-21.679,-58.704,312.3,1.3,1.1,2020-10-26,0250,T,78,6.0NRT,298.8,9.6,N
-21.681,-58.716,328.2,1.3,1.1,2020-10-26,0250,T,100,6.0NRT,299.2,31.3,N
-21.683,-58.728,309.6,1.3,1.1,2020-10-26,0250,T,66,6.0NRT,298.7,6.8,N
-22.348,-63.186,314.4,1,1,2020-10-26,0250,T,84,6.0NRT,300.1,8.3,N
-22.333,-63.147,339.4,1,1,2020-10-26,0250,T,100,6.0NRT,301.1,39.5,N
-22.335,-63.157,342,1,1,2020-10-26,0250,T,100,6.0NRT,301.6,43.7,N
-22.336,-63.167,340.7,1,1,2020-10-26,0250,T,100,6.0NRT,301.7,41.6,N
-22.337,-63.177,321.5,1,1,2020-10-26,0250,T,100,6.0NRT,300.4,14.8,N
-22.327,-63.169,311.5,1,1,2020-10-26,0250,T,72,6.0NRT,299.7,5.4,N
